date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:26	5169/5169	---M--	200	added ('OK')	text/html	etag:%22f8bb0eb3-1431-49d20f3bb4f80%22	http://jumpgate.co.uk/JOSSH/database/modx/optima.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/optima.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:26	2306/2306	---M--	200	added ('OK')	image/gif	etag:%22da039ecd-902-49d20f1a4d360%22	http://jumpgate.co.uk/JOSSH/database/modx/media/large/item3.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/media/large/item3.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:26	5287/5287	---M--	200	added ('OK')	text/html	etag:%22bd3a2678-14a7-49d20efebcd08%22	http://jumpgate.co.uk/JOSSH/database/modx/hawkeye.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/hawkeye.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:27	2333/2333	---M--	200	added ('OK')	image/gif	etag:%2254419df8-91d-49d20f1b9d260%22	http://jumpgate.co.uk/JOSSH/database/modx/media/large/item5.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/media/large/item5.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:27	5104/5104	---M--	200	added ('OK')	text/html	etag:%227cdeb672-13f0-49d20f4e14180%22	http://jumpgate.co.uk/JOSSH/database/modx/witness.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/witness.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:27	2428/2428	---M--	200	added ('OK')	image/gif	etag:%22910012b9-97c-49d20f1aeb6a0%22	http://jumpgate.co.uk/JOSSH/database/modx/media/large/item4.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/media/large/item4.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:27	5257/5257	---M--	200	added ('OK')	text/html	etag:%22963944fd-1489-49d20f3abd690%22	http://jumpgate.co.uk/JOSSH/database/modx/nocknock.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/nocknock.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:28	2490/2490	---M--	200	added ('OK')	image/gif	etag:%2285ed2665-9ba-49d20f1498078%22	http://jumpgate.co.uk/JOSSH/database/modx/media/large/item0.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/media/large/item0.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:28	5125/5125	---M--	200	added ('OK')	text/html	etag:%229bd5ed94-1405-49d20f4aa5300%22	http://jumpgate.co.uk/JOSSH/database/modx/seabear_e.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/seabear_e.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:28	2461/2461	---M--	200	added ('OK')	image/gif	etag:%22d82f291-99d-49d20f1991390%22	http://jumpgate.co.uk/JOSSH/database/modx/media/large/item2.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/media/large/item2.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
